ROW,COL,2000,2050,2100
9,5,0.016871325,0.018895884,0.015521619
9,6,0.01692194,0.018952573,0.015568185
9,7,0.015776877,0.017670102,0.014514727
9,8,0.01338984,0.014996621,0.012318653
9,9,0.010621887,0.011896513,0.009772136
9,10,0.009744782,0.010914156,0.008965199
9,11,0.014146722,0.015844329,0.013014984
9,12,0.0177251,0.019852112,0.016307092
9,13,0.017287589,0.0193621,0.015904582
9,14,0.014353795,0.01607625,0.013205491
9,15,0.016458297,0.018433293,0.015141633
9,16,0.015708337,0.017593337,0.01445167
9,17,0.016251294,0.018201449,0.01495119
9,18,0.014660148,0.016419366,0.013487336
9,19,0.017369563,0.019453911,0.015979998
9,20,0.017500686,0.019600768,0.016100631
9,21,0.011584844,0.012975025,0.010658056
9,22,0.01525836,0.017089363,0.014037691
10,2,0.015857705,0.01776063,0.014589089
10,3,0.017016401,0.019058369,0.015655089
10,4,0.012450516,0.013944578,0.011454475
10,5,0.011404425,0.012772956,0.010492071
10,6,0.010185487,0.011407745,0.009370648
10,7,0.011245745,0.012595234,0.010346085
10,8,0.01087764,0.012182957,0.010007429
10,9,0.008969509,0.01004585,0.008251948
10,10,0.010183381,0.011405387,0.009368711
10,11,0.015118931,0.016933203,0.013909417
10,12,0.017046346,0.019091908,0.015682638
10,13,0.014360454,0.016083708,0.013211618
10,14,0.014597445,0.016349138,0.013429649
10,15,0.01672257,0.018729278,0.015384764
10,16,0.016482853,0.018460795,0.015164225
10,17,0.014172239,0.015872908,0.01303846
10,18,0.014506643,0.01624744,0.013346112
10,19,0.014967087,0.016763137,0.01376972
10,20,0.017581995,0.019691834,0.016175435
10,21,0.015718398,0.017604606,0.014460926
10,22,0.013695603,0.015339075,0.012599955
10,23,0.012750879,0.014280984,0.011730809
10,24,0.014616415,0.016370385,0.013447102
11,2,0.019146103,0.021443635,0.017614415
11,3,0.017383376,0.019469381,0.015992706
11,4,0.013986259,0.01566461,0.012867358
11,5,0.013200672,0.014784753,0.012144618
11,6,0.013340221,0.014941048,0.012273003
11,7,0.012798,0.01433376,0.01177416
11,8,0.012487888,0.013986435,0.011488857
11,9,0.014062617,0.015750131,0.012937608
11,10,0.014115331,0.015809171,0.012986105
11,11,0.017891951,0.020038985,0.016460595
11,12,0.017743751,0.019873001,0.016324251
11,13,0.016028296,0.017951692,0.014746032
11,14,0.016881602,0.018907394,0.015531074
11,15,0.014664448,0.016424182,0.013491292
11,16,0.013488539,0.015107164,0.012409456
11,17,0.012562866,0.01407041,0.011557837
11,18,0.013315567,0.014913435,0.012250322
11,19,0.013419826,0.015030205,0.01234624
11,20,0.016484462,0.018462597,0.015165705
11,21,0.014971743,0.016768352,0.013774004
11,22,0.015394469,0.017241805,0.014162911
11,23,0.013972697,0.015649421,0.012854881
11,24,0.013394559,0.015001906,0.012322994
12,2,0.016066525,0.017994508,0.014781203
12,3,0.013660958,0.015300273,0.012568081
12,4,0.01360906,0.015242147,0.012520335
12,5,0.014321208,0.016039753,0.013175511
12,6,0.010226124,0.011453259,0.009408034
12,7,0.011829184,0.013248686,0.010882849
12,8,0.011572537,0.012961241,0.010646734
12,9,0.017070811,0.019119308,0.015705146
12,10,0.01125127,0.012601422,0.010351168
12,11,0.013855878,0.015518583,0.012747408
12,12,0.016573878,0.018562743,0.015247968
12,13,0.016048578,0.017974407,0.014764692
12,14,0.013934029,0.015606112,0.012819307
12,15,0.010746686,0.012036288,0.009886951
12,16,0.014822715,0.016601441,0.013636898
12,17,0.013496679,0.01511628,0.012416945
12,18,0.015185732,0.01700802,0.013970873
12,19,0.017005881,0.019046587,0.015645411
12,21,0.014020524,0.015702987,0.012898882
12,22,0.014578681,0.016328123,0.013412387
12,23,0.012815122,0.014352937,0.011789912
12,24,0.014966914,0.016762944,0.013769561
12,25,0.016406163,0.018374903,0.01509367
13,2,0.017639232,0.01975594,0.016228093
